684,8,273,116,0,0,0,0
406,119,265,70,0,0,0,0
255,22,119,128,0,0,0,0
1,3,209,78,0,0,0,0
708,471,74,33,1,4,0,1
639,425,61,46,1,4,0,0
594,399,64,51,1,4,0,0
562,390,61,38,1,4,0,0
540,372,65,33,1,4,0,1
514,333,68,35,1,4,0,0
501,317,64,31,1,4,0,1
501,299,45,28,1,4,0,1
489,284,48,27,1,4,0,1
463,262,48,29,1,4,0,0
458,252,49,22,1,4,0,1
448,242,45,20,1,4,0,1
442,230,49,19,1,4,0,1
439,214,45,21,1,4,0,1
429,208,42,19,1,4,0,1
420,199,43,20,1,4,0,1
398,188,41,18,1,4,0,1
46,391,14,26,1,2,0,0
421,433,74,44,1,4,0,1
369,346,64,34,1,4,0,0
398,410,72,46,1,4,0,1
394,393,70,36,1,4,0,1
377,364,71,38,1,4,0,0
357,312,58,31,1,4,0,0
359,298,54,22,1,4,0,2
348,283,43,28,1,5,0,1
345,271,52,19,1,4,0,1
340,260,60,18,1,5,0,1
340,250,52,16,1,4,0,1
332,231,54,22,1,5,0,1
323,213,45,25,1,5,0,0
317,195,45,31,1,6,0,1
316,188,36,15,1,4,0,2
308,179,44,17,1,4,0,1
345,163,37,18,1,4,0,0
384,164,26,22,1,4,0,1
43,398,18,17,1,10,0,1
324,167,14,6,1,3,0,0
362,143,30,18,1,4,1,0
310,150,36,15,1,4,0,0
258,375,30,43,1,4,0,2
218,348,18,28,1,7,0,0
249,297,23,30,1,4,0,2
0,298,26,34,1,8,1,0
33,279,24,30,1,4,0,0
47,243,26,28,1,4,0,0
72,202,28,28,1,5,0,0
87,125,15,15,1,4,0,0
170,113,15,13,1,4,0,0
102,81,13,13,1,4,0,0
415,207,5,9,1,1,0,0
428,197,8,13,1,1,0,1
232,385,13,31,0,11,0,0
234,391,8,17,1,2,0,2
879,256,12,19,1,1,0,0
897,225,8,17,1,1,0,0
57,341,11,20,1,2,0,0
55,345,13,19,1,3,0,1
55,313,10,20,1,1,0,0
53,320,14,13,1,3,0,1
232,236,7,14,1,1,0,1
237,236,6,14,1,1,0,1
193,235,7,13,1,2,0,1
192,241,11,11,1,10,0,1
178,234,6,10,1,2,0,2
177,237,8,12,1,10,0,1
117,202,7,11,1,2,0,1
118,206,7,12,1,10,0,1
59,211,9,13,1,1,0,0
86,194,8,17,1,1,0,2
219,118,7,10,1,1,0,0
193,99,6,10,1,10,0,2
137,115,6,9,1,2,0,1
109,107,4,7,1,2,0,1
109,110,5,8,1,10,0,1
87,102,9,13,1,8,0,1
112,100,4,9,1,2,0,1
59,280,11,18,1,1,0,0
89,81,10,10,1,5,1,0
136,119,6,8,1,10,0,1
841,487,21,26,1,10,0,0
912,139,34,73,0,0,0,0
223,345,8,11,1,2,0,2
329,161,7,11,1,2,0,0
